id,caption
a0,"Living in the service of a clan known as the ShadowBlades, Skat has lived in a web of secrets since the beginning of his life. One day he gets a visit from an old friend named Strix. The visit came with a mission from the ShadowBlade leaders requesting Skat to convince Mayor Bawer of the Dog Village to build a special battleship that would surpass any they have ever made before. The greedy mayor would agree to build the super battleship under one condition: Bawer wanted Skat to steal a rare stone called the Gemini Crystal from the Wolf Tribe. By the time Mayor Bawer had the super battleship under construction, Skat had made many enemies who were now tracking him down."
a1,"Kendrick is informed that someone has taken his Gemini Crystal. He needs to know who took it, and get it back."
a2,"Kendrick calls on his most trusted troops, Nachi, and Boomer. They must go out in search of the Gemini Crystal. The two leave immediately."
a3,"Their trail leads the two wolf soldiers to a neighboring dog town called Barnard. The wolves head straight towards the mayor's building. The mayor denies any part in the Gemini Crystal's disappearance. The mayor continues to lie when he tells the two soldiers that a local called Skat has taken their crystal with plans to sell it."
a4,"The mayor tells them where they can find Skat. Boomer and Nachi decide to look into the possible suspect's story. The two wolves bang on Skat's door."
a5,"Curiously, Skat peeks out to see who's at his door. He sees the two wolves, and he knows why they're there. Should he leave and avoid an obvious confrontation? Or should he open the door and deny any knowledge of the missing crystal?"
b1,"Skat sneaks out the back wondering how they could have found him. He decides to hide out in the Neutral Village. As he moves through the woods, a giant green dragon roars towards Skat in a loud attack."
b2,"Familiar with these types of dragons, Skat kills it quickly. He then hears an identical roaring nearby. It sounds as if someone else is being attacked. Skat goes to investigate."
b3,"It's the two wolf soldiers that were banging on Skat's door. Apparently, they knew Skat went out the back. And when they tried to follow him, they got attacked by this dragon. They're in trouble now. Should Skat help them out?"
c1,"Confident, Skat opens his door. 'What?!' He asks with an annoyed tone. The wolves begin to ask him questions. Skat gets more annoyed and the conversation starts getting loud."
c2,"Skat attacked both the wolves. The fight doesn't last too long."
c3,"With a swift strike to the back, Skat kills Nachi. Boomer, the other wolf soldier retreats. Should Skat run after him?"
d1,"Skat moves on to the Neutral Village. This is a place of bartering and trading. You can find all types of people here. It has no real ruler. Skat walks into a restaurant and orders some food."
d2,"While eating, Skat is approached by two rabbit samurai from an opposing clan called the FireBlades. Ryuho and his brother Sakara walk closer. Skat ignores them and continues to eat his meal."
d3,"Sakara interrupts by grabbing Skat's food and throwing it to the side. The rabbits challenge Skat to a formal duel. Should Skat fight both of these warriors, or should he RUN?"
e1,"Skat jumps up to the harvest dragon and slices its head off using his dragon star. The wolves are grateful and agree to accompany Skat to the Neutral Village."
e2,"They reach the Neutral Village. Most of the stores and shops are closed. Daybreak should be coming soon."
e3,"Slowly, two figures appear out from the shadows. Two rabbit samurai. The one named Sakara starts talking, 'We are from the FireBlades. Warriors of the sword! And your kind is not welcomed here. We challenge you to a fight. Do you accept?' Should Skat put his team to the test, or should they all RUN!"
f1,"The small wolf called Boomer escapes with his life. Skat follows close behind as Boomer leads him towards his village."
f2,"'Kendrick!' Boomer yells for his leader to come out. In just a few moments, Skat is surrounded by dozens of wolves. Boomer tells Kendrick of Nachi's death at the hands of Skat. 'The mayor at the town said he was the one who took the Gemini Crystal, master.' The small wolf talks fast as he attempts to catch his breath."
f3,"With his troops behind him, Kendrick runs up to Skat and grabs him, 'Where is it?! What did you do with the crystal?' Skat looks on with silence. Frustrated, Kendrick makes Skat choose one of two styles of fighting. Fight hand to hand or fight with swords?"
g1,"With great speed, Skat runs through the forest. Night soon falls upon him and he stops moving to set up camp. Using the corpse of a harvest dragon, he makes a tent and goes to sleep."
g2,"During the night, he is awakened by a strange sound. Skat has never heard anything like it. He moves towards it with much curiosity."
g3,"As Skat peers over some bushes, a small gray creature comes into view. The weird-looking guy cries out loud. With his curiosity satisfied, Skat goes back to his camp."
g4,"Moments later another loud noise, 'Grrowl!!' This is not the sound of someone crying. Skat heads back to see what's going on. The small creature is being attacked by a huge pig warrior. Skat wonders whether he should help the gray guy or let them fight?"
h1,"Silently, Skat stands up. Skat uses this uncomfortable silence to mentally throw off his two opponents."
h2,"Suddenly, Skat jumps into the air grabbing his dragon star and throwing it at Sakara. The star hits Sakara's shoulder."
h3,"Ryuho moves in without hesitation. Skat draws out his sword just in time to meet Ryuho's blade. The two are locked in battle for a while. As the two continue their fight, it's hard to tell which warrior is winning."
h4,"Sakara, still angered by Skat's initial attack, moves in and stabs Skat in the back, killing him. The rabbit samurai from the FireBlade clan have won today's battle."
i1,"Skat runs away again but is soon ambushed by the two wolf soldiers and the two samurai warriors."
i2,"Skat finally decides to stand his ground and fight, but it's too late."
i3,"All his enemies come together and beat him to a painful death. Leaving Skat's corpse on the ground, broken."
j1,"Skat gives the wolves the signal to attack. Ryuho quickly locks himself in a fierce sword fight with Skat as the two wolves team up against Sakara. The wolves have Sakara on the ground and secured almost instantly."
j2,"Skat is having some trouble with Ryuho. Skat has never met anyone as good with a sword as he is. Could Skat have finally met his equal?"
j3,"The fight lasts long, and after some time goes by, both Skat and Ryuho get too tired to even swing their swords at each other."
j4,"'Why don't we just call it a draw?' Ryuho says. Skat agrees, and explains the story to the samurai rabbits. Ryuho and Sakara join Skat's growing team of fighters, and vow to never fight against each other again."
k1,"Skat yells for his team to run. Ryuho and Sakara laugh as they all retreat into the woods."
k2,"After reaching the safety of the forest, the two wolf soldiers consider Skat a coward and walk away, leaving his team."
k3,"Skat is left in the woods alone and never heard from again. Some say he changed his name and became a priest."
l1,"Skat feels alive when his sword is in his grasp. He swings it with ease. It comes as natural to him as breathing."
l2,"Kendrick charges Skat with his large sword and the two warriors clash swords. Sparks flying, swords clinging."
l3,"But in the end, Skat stands victorious as Kendrick's body splits in two. All the wolves watching can't believe their leader has just been defeated. None of the wolves try to fight Skat as he leaves the village."
m1,"Even though the sword is his favorite weapon, Skat feels confident in using his hands to fight the powerful Kendrick."
m2,"Both warriors possess great fighting abilities. They're both quick and strong."
m3,"But without his sword, Skat is incomplete, and Kendrick overpowers Skat and breaks his neck."
n1,"Skat feels bad for the little guy, and rushes in stabbing the large pig warrior. The gray creature stands in surprise as he sees his opponent drop dead before him."
n2,"'Thank you,' the creature says. 'My name is Vexx and one day I shall repay you.' Vexx smiles and then runs off."
n3,"As Vexx disappears into the woods, Skat wonders to himself, 'What the hell was that all about?'"
o1,"Skat stands back and watches the two fight. The small creature seems to be keeping up with his larger opponent until the pig warrior hits him with a powerful punch that sends him flying into a tree."
o2,"The small creature slowly stands up, enraged he lets out a loud scream as he bursts into flames. This sight amazes both Skat and the pig warrior."
o3,"The creature attacks the pig with a great rush of fire. Leaving nothing but ashes and a tarnished chain which the pig wore around his neck."
o4,"Realizing that someone had been watching all this time, the small gray creature looks on at Skat. His flames die down and he begins to talk, 'He deserved it.' With those words the creature escapes into the woods. Skat stands there and wonders to himself, 'What the hell was all that about?'"
